No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP
2825,2013,6,26,16,142.0,165.0,2.8560000000000003,33.6692,,330.7248,31.5
2826,2013,6,26,17,118.0,140.0,3.9984,31.2056,,312.9462,31.2
2827,2013,6,26,18,62.0,74.0,3.4272,27.9208,,264.1086,30.5
2828,2013,6,26,19,63.0,124.0,3.4272,32.6427,,226.1952,29.2
2829,2013,6,26,20,72.0,121.0,3.9984,33.2586,,193.2084,28.3
2830,2013,6,26,21,64.0,106.0,2.2848,26.8943,,174.3588,27.9
2831,2013,6,26,22,74.0,105.0,2.5704,20.7353,,178.857,27.3
2832,2013,6,26,23,109.0,144.0,2.5704,20.3247,,166.4334,26.8
2833,2013,6,27,0,158.0,189.0,3.1416,24.4307,,143.514,26.0
2834,2013,6,27,1,137.0,124.0,3.7128,26.4837,,125.7354,24.8
2835,2013,6,27,2,38.0,43.0,1.9992,21.7618,,95.7474,24.5
2836,2013,6,27,3,39.0,63.0,1.1424,86.8419,,18.8496,24.5
2837,2013,6,27,4,34.0,63.0,2.5704,73.7027,,26.1324,24.2
2838,2013,6,27,5,47.0,99.0,1.7136,64.4642,,22.7052,24.5
2839,2013,6,27,6,59.0,126.0,2.2848,85.6101,,6.2118,25.0
2840,2013,6,27,7,44.0,69.0,1.9992,58.9211,,17.9928,25.7
2841,2013,6,27,8,36.0,87.0,2.5704,62.2059,,26.1324,26.4
2842,2013,6,27,9,45.0,112.0,2.5704,39.6229,,64.6884,27.9
2843,2013,6,27,10,64.0,108.0,4.284,21.3512,,106.029,29.4
2844,2013,6,27,11,36.0,44.0,4.284,17.6558,,133.2324,30.7
2845,2013,6,27,12,12.0,26.0,0.8568,10.4703,,153.5814,31.9
2846,2013,6,27,13,,30.0,1.7136,10.4703,,171.36,32.7
2847,2013,6,27,14,,37.0,1.4280000000000002,9.8544,,188.9244,34.0
2848,2013,6,27,15,,51.0,1.7136,11.9074,,207.1314,33.3
2849,2013,6,27,16,,55.0,2.2848,15.1922,,218.2698,32.6
2850,2013,6,27,17,,42.0,2.8560000000000003,19.5035,,203.7042,31.6
2851,2013,6,27,18,,63.0,1.9992,20.7353,,191.4948,31.5
2852,2013,6,27,19,5.0,47.0,2.5704,24.636,,193.851,29.3
2853,2013,6,27,20,3.0,60.0,1.9992,33.6692,,162.792,28.2
2854,2013,6,27,21,5.0,79.0,0.2856,21.5565,,133.875,27.3
2855,2013,6,27,22,13.0,46.0,,22.1724,,136.6596,26.3
2856,2013,6,27,23,9.0,42.0,0.2856,25.4572,,125.7354,26.9
2857,2013,6,28,0,13.0,52.0,0.5712,24.2254,,129.1626,25.7
2858,2013,6,28,1,28.0,92.0,2.2848,18.477,,139.23,25.9
2859,2013,6,28,2,126.0,220.0,4.8552,22.3777,,123.3792,25.2
2860,2013,6,28,3,90.0,61.0,4.284,22.7883,,105.8148,25.4
2861,2013,6,28,4,57.0,88.0,3.1416,16.424,,114.59700000000001,24.6
2862,2013,6,28,5,124.0,188.0,7.14,18.477,,99.8172,25.6
2863,2013,6,28,6,198.0,238.0,11.7096,26.2784,,84.609,25.4
2864,2013,6,28,7,200.0,228.0,15.708,27.7155,,83.1096,25.4
2865,2013,6,28,8,236.0,265.0,19.1352,57.0734,,40.9122,25.3
2866,2013,6,28,9,262.0,285.0,29.988000000000003,72.0603,,31.059,25.4
2867,2013,6,28,10,271.0,295.0,39.4128,70.8285,,41.769,25.7
2868,2013,6,28,11,211.0,228.0,30.8448,58.0999,,59.3334,25.5
2869,2013,6,28,12,203.0,232.0,25.1328,56.8681,,58.6908,26.0
2870,2013,6,28,13,203.0,225.0,21.9912,45.9872,,81.396,25.8
2871,2013,6,28,14,243.0,293.0,21.7056,50.0932,,84.609,26.0
2872,2013,6,28,15,243.0,304.0,15.9936,44.5501,,114.59700000000001,26.1
2873,2013,6,28,16,271.0,314.0,11.424000000000001,42.4971,,129.8052,25.9
2874,2013,6,28,17,335.0,411.0,11.9952,44.3448,,118.2384,25.8
2875,2013,6,28,18,360.0,438.0,16.8504,51.5303,,96.6042,25.8
2876,2013,6,28,19,390.0,376.0,15.708,45.3713,,91.035,25.7
2877,2013,6,28,20,391.0,361.0,14.8512,43.5236,,80.325,23.7
2878,2013,6,28,21,375.0,354.0,10.2816,32.4374,,92.3202,21.1
2879,2013,6,28,22,61.0,61.0,1.7136,16.2187,,143.2998,21.2
2880,2013,6,28,23,22.0,22.0,0.2856,12.5233,,144.3708,21.5
2881,2013,6,29,0,28.0,28.0,,8.6226,,112.2408,21.4
2882,2013,6,29,1,30.0,30.0,,9.6491,,102.6018,20.9
2883,2013,6,29,2,30.0,30.0,,7.8014,,91.8918,20.8
2884,2013,6,29,3,24.0,3.0,,27.9208,,61.4754,20.5
2885,2013,6,29,4,24.0,20.0,,55.0204,,33.8436,20.6
2886,2013,6,29,5,50.0,32.0,,45.7819,,31.7016,20.8
2887,2013,6,29,6,57.0,38.0,,37.7752,,47.123999999999995,21.5
2888,2013,6,29,7,57.0,30.0,,24.636,,46.6956,22.7
2889,2013,6,29,8,53.0,19.0,,24.0201,,49.6944,22.9
2890,2013,6,29,9,53.0,40.0,0.5712,19.7088,,55.2636,24.5
2891,2013,6,29,10,69.0,36.0,1.9992,17.0399,,88.2504,23.8
2892,2013,6,29,11,69.0,61.0,8.568,20.9406,,83.7522,23.3
2893,2013,6,29,12,100.0,79.0,8.8536,23.6095,,74.3274,23.2
2894,2013,6,29,13,125.0,110.0,7.14,21.7618,,70.4718,23.3
2895,2013,6,29,14,142.0,139.0,6.2832,25.6625,,61.6896,23.4
2896,2013,6,29,15,165.0,166.0,6.2832,30.1791,,61.2612,24.1
2897,2013,6,29,16,165.0,168.0,3.9984,25.0466,,70.4718,24.2
2898,2013,6,29,17,167.0,163.0,3.4272,26.689,,72.828,24.7
2899,2013,6,29,18,167.0,170.0,4.5696,31.0003,,71.757,24.3
2900,2013,6,29,19,170.0,178.0,5.712000000000001,33.2586,,56.9772,24.2
2901,2013,6,29,20,159.0,142.0,3.4272,46.6031,,33.4152,24.0
2902,2013,6,29,21,159.0,146.0,3.4272,49.0667,,24.633000000000003,23.9
2903,2013,6,29,22,163.0,152.0,3.4272,55.2257,,14.1372,23.8
2904,2013,6,29,23,163.0,188.0,3.4272,60.7688,,5.5692,23.6
2905,2013,6,30,0,185.0,169.0,3.4272,62.4112,,1.7136,23.7
2906,2013,6,30,1,167.0,140.0,2.8560000000000003,50.0932,,6.8544,23.6
2907,2013,6,30,2,167.0,133.0,,43.3183,,14.7798,23.6
2908,2013,6,30,3,166.0,142.0,3.9984,49.4773,,,23.6
2909,2013,6,30,4,159.0,147.0,4.8552,,,0.2142,23.7
2910,2013,6,30,5,148.0,134.0,3.4272,36.3381,,,23.8
2911,2013,6,30,6,156.0,130.0,4.5696,39.2123,,,23.9
2912,2013,6,30,7,167.0,138.0,6.5688,41.6759,,1.4994,23.7
2913,2013,6,30,8,181.0,140.0,10.5672,41.2653,,10.0674,23.7
2914,2013,6,30,9,192.0,168.0,18.2784,51.1197,,10.2816,23.7
2915,2013,6,30,10,215.0,212.0,17.7072,56.2522,,8.568,24.0
2916,2013,6,30,11,234.0,245.0,15.9936,51.1197,,13.923,24.2
2917,2013,6,30,12,251.0,235.0,13.9944,57.483999999999995,,13.0662,25.1
2918,2013,6,30,13,279.0,285.0,10.2816,65.0801,,21.42,25.6
2919,2013,6,30,14,311.0,288.0,7.9968,54.6098,,52.479,25.4
2920,2013,6,30,15,302.0,269.0,7.14,55.6363,,53.9784,25.7
2921,2013,6,30,16,254.0,212.0,7.9968,39.4176,,69.1866,25.3
2922,2013,6,30,17,254.0,185.0,6.8544,38.5964,,50.336999999999996,24.9
2923,2013,6,30,18,263.0,194.0,3.1416,40.2388,,31.059,24.9
2924,2013,6,30,19,263.0,198.0,3.7128,42.2918,,29.7738,24.8
2925,2013,6,30,20,286.0,245.0,4.8552,70.8285,,0.4284,24.6
2926,2013,6,30,21,287.0,223.0,5.1408,72.2656,,0.2142,24.8
2927,2013,6,30,22,263.0,198.0,4.5696,58.0999,,,24.7
2928,2013,6,30,23,263.0,157.0,3.1416,40.0335,,2.9988,24.5
2929,2013,7,1,0,230.0,149.0,2.8560000000000003,38.8017,,14.3514,24.3
2930,2013,7,1,1,230.0,124.0,3.7128,56.0469,,,24.2
2931,2013,7,1,2,204.0,113.0,2.8560000000000003,50.2985,,6.6402,24.4
2932,2013,7,1,3,206.0,96.0,3.1416,13.7551,,47.3382,24.2
2933,2013,7,1,4,206.0,94.0,3.4272,9.4438,,44.7678,24.1
2934,2013,7,1,5,195.0,70.0,3.9984,10.4703,,39.4128,24.2
2935,2013,7,1,6,165.0,68.0,5.1408,10.265,,40.0554,24.5
2936,2013,7,1,7,155.0,93.0,7.7112,16.6293,,32.5584,24.6
2937,2013,7,1,8,155.0,113.0,10.5672,28.9473,,20.5632,24.8
2938,2013,7,1,9,161.0,109.0,12.2808,29.7685,,20.5632,24.9
2939,2013,7,1,10,161.0,123.0,14.5656,27.9208,,24.633000000000003,24.6
2940,2013,7,1,11,157.0,132.0,11.9952,31.6162,,17.7786,24.5
2941,2013,7,1,12,163.0,126.0,10.5672,37.1593,,10.0674,26.7
2942,2013,7,1,13,163.0,188.0,14.8512,34.6957,,31.4874,27.7
2943,2013,7,1,14,223.0,204.0,12.2808,29.1526,,54.4068,28.3
2944,2013,7,1,15,222.0,199.0,9.7104,36.3381,,66.1878,26.8
2945,2013,7,1,16,222.0,171.0,9.4248,33.8745,,59.976000000000006,26.3
2946,2013,7,1,17,225.0,164.0,10.2816,39.8282,,53.7642,26.0
2947,2013,7,1,18,231.0,183.0,8.2824,35.9275,,42.84,26.0
2948,2013,7,1,19,235.0,196.0,7.7112,37.3646,,37.9134,25.7
2949,2013,7,1,20,235.0,186.0,6.5688,35.9275,,31.059,24.9
2950,2013,7,1,21,223.0,158.0,5.4264,35.1063,,25.9182,24.0
2951,2013,7,1,22,93.0,93.0,3.1416,21.1459,,36.6282,22.6
2952,2013,7,1,23,57.0,57.0,2.2848,11.7021,,53.55,21.7
2953,2013,7,2,0,24.0,24.0,1.1424,15.8081,,58.6908,21.6
2954,2013,7,2,1,14.0,14.0,0.2856,,,76.4694,22.3
2955,2013,7,2,2,4.0,4.0,0.5712,,,84.609,22.5
2956,2013,7,2,3,6.0,6.0,0.2856,,,76.8978,22.4
2957,2013,7,2,4,8.0,8.0,0.5712,,,83.538,21.5
2958,2013,7,2,5,8.0,6.0,0.8568,2.2583,,77.5404,22.5
2959,2013,7,2,6,12.0,7.0,1.4280000000000002,8.212,,61.2612,25.4
2960,2013,7,2,7,14.0,16.0,5.4264,19.5035,,47.5524,27.1
2961,2013,7,2,8,14.0,7.0,6.5688,27.5102,,55.9062,28.4
2962,2013,7,2,9,11.0,12.0,9.996,25.0466,,62.118,30.1
2963,2013,7,2,10,12.0,17.0,12.852,23.6095,,68.9724,31.5
2964,2013,7,2,11,17.0,12.0,5.712000000000001,9.8544,,92.5344,32.7
2965,2013,7,2,12,10.0,15.0,3.4272,11.4968,,98.7462,33.9
2966,2013,7,2,13,10.0,13.0,3.4272,12.318,,102.1734,34.9
2967,2013,7,2,14,11.0,24.0,2.5704,10.0597,,104.5296,35.5
2968,2013,7,2,15,11.0,,3.7128,11.2915,,113.7402,35.9
2969,2013,7,2,16,15.0,10.0,3.7128,13.9604,,116.0964,36.3
2970,2013,7,2,17,15.0,25.0,5.0,18.0,300.0,114.0,35.9
2971,2013,7,2,18,11.0,19.0,4.0,17.0,300.0,108.0,34.2
2972,2013,7,2,19,11.0,19.0,4.0,17.0,,92.9628,31.6
2973,2013,7,2,20,20.0,42.0,3.1416,35.1063,,70.686,29.0
2974,2013,7,2,21,21.0,42.0,3.0,35.0,,44.1252,26.8
2975,2013,7,2,22,23.0,68.0,3.0,49.0,,8.1396,26.2
2976,2013,7,2,23,35.0,66.0,5.0,90.0,,16.9218,25.5
2977,2013,7,3,0,22.0,43.0,3.0,25.0,500.0,58.0,24.7
2978,2013,7,3,1,20.0,9.0,3.0,20.0,400.0,63.0,24.5
2979,2013,7,3,2,20.0,9.0,3.0,20.0,,43.911,24.2
2980,2013,7,3,3,18.0,10.0,3.0,41.0,,58.905,24.2
2981,2013,7,3,4,16.0,26.0,3.0,28.0,,59.3334,24.5
2982,2013,7,3,5,22.0,40.0,8.0,45.0,600.0,40.0,26.0
2983,2013,7,3,6,21.0,47.0,9.0,43.0,700.0,40.0,29.5
2984,2013,7,3,7,21.0,47.0,9.0,43.0,,47.7666,30.5
2985,2013,7,3,8,20.0,57.0,16.2792,27.5102,,62.5464,32.4
2986,2013,7,3,9,25.0,41.0,27.0,28.0,700.0,62.0,33.5
2987,2013,7,3,10,25.0,41.0,27.0,28.0,,79.8966,33.9
2988,2013,7,3,11,19.0,16.0,13.0,11.0,400.0,94.0,34.8
2989,2013,7,3,12,23.0,45.0,16.0,11.0,500.0,113.0,35.9
2990,2013,7,3,13,23.0,45.0,16.0,11.0,,125.7354,36.1
2991,2013,7,3,14,30.0,22.0,14.0,13.0,,133.4466,36.2
2992,2013,7,3,15,28.0,28.0,7.4256,12.9339,,130.2336,35.4
2993,2013,7,3,16,29.0,6.0,8.0,13.0,,118.881,35.1
2994,2013,7,3,17,6.0,28.0,6.8544,13.5498,,121.4514,33.6
2995,2013,7,3,18,18.0,96.0,7.0,16.0,400.0,100.0,31.4
2996,2013,7,3,19,21.0,136.0,5.0,19.0,600.0,78.0,29.6
2997,2013,7,3,20,21.0,136.0,5.0,19.0,,59.1192,28.3
2998,2013,7,3,21,28.0,21.0,4.0,20.0,,56.1204,27.4
2999,2013,7,3,22,14.0,14.0,1.7136,20.53,,46.4814,26.3
3000,2013,7,3,23,15.0,6.0,3.0,21.0,,47.9808,25.4
3001,2013,7,4,0,13.0,5.0,1.1424,29.1526,,40.9122,25.0
3002,2013,7,4,1,8.0,8.0,3.0,17.0,300.0,55.0,24.2
3003,2013,7,4,2,8.0,10.0,3.0,17.0,,44.7678,25.1
3004,2013,7,4,3,7.0,20.0,1.4280000000000002,17.0399,,,25.2
3005,2013,7,4,4,14.0,26.0,3.0,,300.0,42.0,23.8
3006,2013,7,4,5,14.0,26.0,3.0,12.5233,,45.1962,24.7
3007,2013,7,4,6,10.0,19.0,3.0,13.0,,20.349,27.8
3008,2013,7,4,7,17.0,58.0,5.0,35.0,,7.2828,28.9
3009,2013,7,4,8,23.0,59.0,8.0,55.0,,15.8508,31.1
3010,2013,7,4,9,24.0,55.0,8.568,31.2056,,34.0578,31.2
3011,2013,7,4,10,16.0,30.0,16.0,27.0,500.0,40.0,32.5
3012,2013,7,4,11,22.0,38.0,29.0,29.0,700.0,44.0,34.0
3013,2013,7,4,12,18.0,25.0,10.0,6.0,400.0,75.0,34.8
3014,2013,7,4,13,11.0,16.0,5.0,2.0,300.0,93.0,36.1
3015,2013,7,4,14,14.0,16.0,3.0,2.0,300.0,119.0,36.3
3016,2013,7,4,15,20.0,28.0,4.0,4.0,400.0,151.0,37.2
3017,2013,7,4,16,20.0,41.0,4.0,7.0,400.0,182.0,26.3
3018,2013,7,4,17,25.0,74.0,3.0,11.0,400.0,143.0,24.3
3019,2013,7,4,18,13.0,140.0,3.0,32.0,500.0,70.0,26.5
3020,2013,7,4,19,23.0,140.0,3.0,18.0,500.0,78.0,26.2
3021,2013,7,4,20,13.0,3.0,3.0,19.0,400.0,74.0,25.4
3022,2013,7,4,21,14.0,10.0,3.0,31.0,400.0,70.0,25.0
3023,2013,7,4,22,14.0,10.0,3.0,15.0,400.0,88.0,25.3
3024,2013,7,4,23,16.0,39.0,3.0,15.0,400.0,76.0,24.2
3025,2013,7,5,0,14.0,55.0,3.0,16.0,400.0,52.0,23.5
3026,2013,7,5,1,17.0,18.0,3.0,16.0,400.0,48.0,22.8
3027,2013,7,5,2,20.0,32.0,3.0,55.0,400.0,11.0,22.5
3028,2013,7,5,3,23.0,39.0,5.0,62.0,500.0,2.0,22.7
3029,2013,7,5,4,25.0,26.0,4.0,39.0,500.0,22.0,23.3
3030,2013,7,5,5,17.0,26.0,4.0,25.0,500.0,21.0,24.9
3031,2013,7,5,6,16.0,26.0,7.0,17.0,500.0,36.0,27.7
3032,2013,7,5,7,12.0,33.0,16.0,14.0,600.0,40.0,29.5
3033,2013,7,5,8,21.0,44.0,30.0,27.0,800.0,33.0,31.4
3034,2013,7,5,9,18.0,31.0,20.0,14.0,600.0,52.0,32.4
3035,2013,7,5,10,11.0,15.0,13.0,6.0,500.0,70.0,33.0
3036,2013,7,5,11,11.0,15.0,8.0,,400.0,90.0,34.2
3037,2013,7,5,12,12.0,2.0,8.0,,400.0,100.0,34.5
3038,2013,7,5,13,13.0,13.0,6.0,,300.0,105.0,35.0
3039,2013,7,5,14,10.0,23.0,3.0,,300.0,114.0,35.8
3040,2013,7,5,15,11.0,18.0,4.0,,400.0,120.0,36.4
3041,2013,7,5,16,15.0,18.0,6.0,,400.0,128.0,36.2
3042,2013,7,5,17,17.0,26.0,6.0,3.0,400.0,125.0,35.8
3043,2013,7,5,18,14.0,42.0,5.0,6.0,400.0,123.0,34.0
3044,2013,7,5,19,22.0,51.0,5.0,10.0,500.0,146.0,31.8
3045,2013,7,5,20,24.0,66.0,10.0,27.0,500.0,163.0,30.0
3046,2013,7,5,21,29.0,72.0,5.0,25.0,500.0,134.0,27.8
3047,2013,7,5,22,33.0,79.0,5.0,31.0,600.0,103.0,26.9
3048,2013,7,5,23,26.0,40.0,3.0,14.0,500.0,102.0,26.4
3049,2013,7,6,0,27.0,52.0,4.0,23.0,600.0,80.0,26.5
3050,2013,7,6,1,23.0,37.0,3.0,11.0,500.0,87.0,25.8
3051,2013,7,6,2,23.0,31.0,3.0,8.0,400.0,93.0,24.4
3052,2013,7,6,3,26.0,37.0,3.0,9.0,500.0,87.0,23.6
3053,2013,7,6,4,26.0,39.0,3.0,21.0,500.0,64.0,22.7
3054,2013,7,6,5,34.0,85.0,5.0,76.0,700.0,8.0,23.2
3055,2013,7,6,6,33.0,70.0,6.0,66.0,600.0,11.0,25.2
3056,2013,7,6,7,34.0,68.0,8.0,50.0,700.0,29.0,27.3
3057,2013,7,6,8,34.0,68.0,8.0,50.0,,54.4068,28.6
3058,2013,7,6,9,53.0,120.0,13.0,30.0,1000.0,90.0,29.6
3059,2013,7,6,10,115.0,192.0,26.0,15.0,1899.0,155.0,30.6
3060,2013,7,6,11,125.0,162.0,24.0,21.0,1600.0,201.0,32.1
3061,2013,7,6,12,123.0,160.0,18.0,26.0,1300.0,243.0,33.5
3062,2013,7,6,13,125.0,165.0,16.0,28.0,1399.0,294.0,34.8
3063,2013,7,6,14,68.0,165.0,13.0,7.0,700.0,237.0,34.9
3064,2013,7,6,15,41.0,60.0,11.0,2.0,600.0,226.0,34.5
3065,2013,7,6,16,50.0,80.0,12.0,2.0,600.0,224.0,34.3
3066,2013,7,6,17,53.0,84.0,13.0,5.0,700.0,232.0,33.4
3067,2013,7,6,18,62.0,93.0,12.0,10.0,700.0,230.0,32.8
3068,2013,7,6,19,58.0,75.0,10.0,15.0,800.0,225.0,32.4
3069,2013,7,6,20,59.0,78.0,12.0,20.0,800.0,201.0,31.9
3070,2013,7,6,21,59.0,102.0,14.0,20.0,1000.0,164.0,22.0
3071,2013,7,6,22,47.0,129.0,8.0,10.0,700.0,153.0,22.4
3072,2013,7,6,23,21.0,129.0,3.0,,400.0,132.0,22.4
3073,2013,7,7,0,24.0,25.0,3.0,29.0,500.0,78.0,22.1
3074,2013,7,7,1,18.0,25.0,3.0,,400.0,90.0,22.1
3075,2013,7,7,2,15.0,4.0,3.0,9.0,400.0,70.0,21.6
3076,2013,7,7,3,28.0,16.0,3.0,37.0,400.0,24.0,21.1
3077,2013,7,7,4,20.0,20.0,3.0,6.0,400.0,58.0,21.1
3078,2013,7,7,5,20.0,6.0,3.0,6.0,400.0,57.0,22.1
3079,2013,7,7,6,24.0,45.0,3.0,26.0,500.0,26.0,22.3
3080,2013,7,7,7,29.0,37.0,3.0,26.0,500.0,37.0,23.8
3081,2013,7,7,8,33.0,43.0,4.0,11.0,600.0,59.0,26.2
3082,2013,7,7,9,26.0,43.0,4.0,,500.0,95.0,27.5
3083,2013,7,7,10,30.0,28.0,4.0,,600.0,126.0,28.1
3084,2013,7,7,11,34.0,57.0,5.0,3.0,600.0,143.0,28.8
3085,2013,7,7,12,57.0,64.0,5.0,12.0,600.0,149.0,29.4
3086,2013,7,7,13,80.0,93.0,5.0,16.0,800.0,179.0,30.0
3087,2013,7,7,14,98.0,115.0,6.0,14.0,900.0,212.0,30.7
3088,2013,7,7,15,132.0,138.0,12.0,13.0,1200.0,242.0,31.4
3089,2013,7,7,16,125.0,138.0,10.0,10.0,1100.0,266.0,31.6
3090,2013,7,7,17,120.0,137.0,11.0,8.0,1000.0,248.0,30.7
3091,2013,7,7,18,140.0,147.0,12.0,7.0,1100.0,209.0,30.5
3092,2013,7,7,19,131.0,146.0,9.0,12.0,1100.0,200.0,30.3
3093,2013,7,7,20,136.0,158.0,7.0,17.0,1200.0,182.0,29.5
3094,2013,7,7,21,142.0,143.0,7.0,14.0,1200.0,149.0,28.5
3095,2013,7,7,22,143.0,144.0,6.0,12.0,1300.0,126.0,29.1
3096,2013,7,7,23,150.0,87.0,5.0,63.0,1200.0,57.0,28.0
3097,2013,7,8,0,77.0,77.0,4.0,10.0,700.0,117.0,27.1
3098,2013,7,8,1,51.0,84.0,3.0,,600.0,132.0,25.6
3099,2013,7,8,2,79.0,84.0,3.0,,800.0,128.0,24.3
3100,2013,7,8,3,72.0,45.0,3.0,,,,23.9
3101,2013,7,8,4,45.0,28.0,3.0,,700.0,118.0,23.8
3102,2013,7,8,5,47.0,37.0,3.0,4.0,800.0,118.0,23.7
3103,2013,7,8,6,47.0,37.0,3.0,5.0,800.0,99.0,24.1
3104,2013,7,8,7,58.0,46.0,3.0,16.0,900.0,75.0,24.1
3105,2013,7,8,8,72.0,59.0,3.0,41.0,900.0,41.0,24.4
3106,2013,7,8,9,71.0,83.0,3.0,35.0,900.0,31.0,25.6
3107,2013,7,8,10,80.0,83.0,3.0,24.0,900.0,59.0,26.8
3108,2013,7,8,11,62.0,23.0,3.0,8.0,700.0,106.0,27.3
3109,2013,7,8,12,53.0,28.0,3.0,7.0,800.0,136.0,28.3
3110,2013,7,8,13,65.0,50.0,3.0,18.0,800.0,135.0,29.0
3111,2013,7,8,14,73.0,58.0,3.0,19.0,800.0,149.0,29.1
3112,2013,7,8,15,71.0,61.0,5.0,22.0,800.0,152.0,28.4
3113,2013,7,8,16,70.0,96.0,3.0,20.0,800.0,143.0,27.5
3114,2013,7,8,17,77.0,96.0,3.0,29.0,900.0,136.0,26.8
3115,2013,7,8,18,82.0,79.0,3.0,38.0,900.0,108.0,26.4
3116,2013,7,8,19,84.0,79.0,3.0,42.0,1000.0,84.0,26.1
3117,2013,7,8,20,92.0,86.0,3.0,46.0,1000.0,69.0,25.8
3118,2013,7,8,21,102.0,72.0,3.0,35.0,1000.0,65.0,25.2
3119,2013,7,8,22,109.0,91.0,3.0,30.0,1000.0,64.0,25.5
3120,2013,7,8,23,120.0,111.0,3.0,31.0,1100.0,35.0,25.3
3121,2013,7,9,0,138.0,108.0,3.0,27.0,1100.0,42.0,25.0
3122,2013,7,9,1,147.0,110.0,3.0,28.0,1100.0,32.0,24.6
3123,2013,7,9,2,133.0,60.0,4.0,15.0,1000.0,33.0,24.7
3124,2013,7,9,3,130.0,73.0,3.0,16.0,1000.0,38.0,24.7
3125,2013,7,9,4,128.0,87.0,3.0,51.0,1100.0,2.0,24.5
3126,2013,7,9,5,109.0,48.0,3.0,49.0,1000.0,2.0,24.5
3127,2013,7,9,6,92.0,46.0,3.0,39.0,900.0,4.0,24.7
3128,2013,7,9,7,84.0,40.0,3.0,39.0,900.0,5.0,25.4
3129,2013,7,9,8,65.0,14.0,4.0,36.0,800.0,19.0,25.9
3130,2013,7,9,9,97.0,91.0,3.0,33.0,1000.0,20.0,26.4
3131,2013,7,9,10,98.0,25.0,3.0,20.0,900.0,49.0,25.9
3132,2013,7,9,11,64.0,61.0,3.0,30.0,900.0,33.0,25.7
3133,2013,7,9,12,53.0,33.0,3.0,18.0,800.0,40.0,25.2
3134,2013,7,9,13,35.0,29.0,3.0,15.0,700.0,32.0,25.4
3135,2013,7,9,14,37.0,25.0,3.0,25.0,700.0,27.0,24.3
3136,2013,7,9,15,36.0,36.0,3.0,21.0,700.0,46.0,24.2
3137,2013,7,9,16,36.0,15.0,3.0,15.0,600.0,56.0,24.1
3138,2013,7,9,17,35.0,17.0,3.0,27.0,600.0,44.0,23.9
3139,2013,7,9,18,40.0,22.0,4.0,38.0,700.0,35.0,24.1
3140,2013,7,9,19,39.0,36.0,3.0,35.0,700.0,18.0,23.8
3141,2013,7,9,20,43.0,19.0,3.0,51.0,800.0,7.0,23.6
3142,2013,7,9,21,46.0,42.0,3.0,44.0,700.0,17.0,23.6
3143,2013,7,9,22,47.0,37.0,3.0,31.0,700.0,11.0,23.3
3144,2013,7,9,23,42.0,21.0,3.0,29.0,700.0,5.0,23.0
3145,2013,7,10,0,37.0,17.0,3.0,33.0,700.0,2.0,22.7
3146,2013,7,10,1,36.0,27.0,3.0,35.0,700.0,2.0,22.1
3147,2013,7,10,2,26.0,3.0,3.0,18.0,600.0,6.0,22.0
3148,2013,7,10,3,17.0,17.0,3.0,7.0,400.0,12.0,21.8
3149,2013,7,10,4,14.0,14.0,3.0,8.0,400.0,15.0,21.9
3150,2013,7,10,5,16.0,16.0,3.0,9.0,400.0,17.0,21.8
3151,2013,7,10,6,11.0,23.0,3.0,9.0,400.0,20.0,22.1
3152,2013,7,10,7,17.0,28.0,3.0,19.0,600.0,9.0,23.1
3153,2013,7,10,8,16.0,23.0,3.0,28.0,600.0,7.0,24.4
3154,2013,7,10,9,17.0,25.0,3.0,23.0,600.0,16.0,25.7
3155,2013,7,10,10,16.0,20.0,4.0,31.0,600.0,25.0,25.1
3156,2013,7,10,11,18.0,58.0,5.0,24.0,500.0,34.0,25.2
3157,2013,7,10,12,21.0,54.0,3.0,20.0,600.0,29.0,25.3
3158,2013,7,10,13,31.0,32.0,4.0,30.0,600.0,30.0,24.9
3159,2013,7,10,14,16.0,32.0,3.0,11.0,500.0,46.0,23.7
3160,2013,7,10,15,16.0,30.0,3.0,21.0,500.0,40.0,23.6
3161,2013,7,10,16,16.0,30.0,3.0,15.0,500.0,50.0,24.1
3162,2013,7,10,17,13.0,19.0,3.0,12.0,500.0,53.0,24.2
3163,2013,7,10,18,14.0,19.0,3.0,18.0,500.0,47.0,24.0
3164,2013,7,10,19,23.0,27.0,3.0,33.0,600.0,30.0,23.8
3165,2013,7,10,20,27.0,27.0,3.0,27.0,600.0,31.0,23.5
3166,2013,7,10,21,28.0,40.0,3.0,43.0,600.0,10.0,23.0
3167,2013,7,10,22,28.0,29.0,3.0,34.0,600.0,4.0,22.7
3168,2013,7,10,23,24.0,29.0,4.0,51.0,500.0,2.0,22.6
3169,2013,7,11,0,19.0,27.0,3.0,41.0,500.0,3.0,22.4
3170,2013,7,11,1,26.0,27.0,3.0,44.0,500.0,2.0,22.6
3171,2013,7,11,2,23.0,26.0,4.0,47.0,500.0,2.0,22.4
3172,2013,7,11,3,19.0,26.0,3.0,12.0,400.0,26.0,22.5
3173,2013,7,11,4,14.0,9.0,3.0,4.0,400.0,37.0,22.1
3174,2013,7,11,5,17.0,18.0,3.0,8.0,400.0,32.0,22.2
3175,2013,7,11,6,19.0,40.0,3.0,25.0,600.0,11.0,22.6
3176,2013,7,11,7,20.0,44.0,3.0,26.0,600.0,6.0,24.1
3177,2013,7,11,8,25.0,44.0,4.0,36.0,700.0,8.0,24.8
